pca_0,pca_1,pca_2,pca_3,pca_4,target
1.5223901252876348,0.33250013356205704,-1.2847061553034202,2.238528635312853,0.23323507571150015,0
1.0630858849778455,1.1665670267546338,-0.9789035978753667,0.5761537291876835,-1.556981182617024,0
-1.948098823254876,0.7174094062558178,0.43747632213180465,0.33611846138657114,-2.2659686094250975,0
0.5658470589792238,1.6217976431010126,1.6580476156037651,1.3055485610585527,0.3342717646947614,0
-1.767985595295888,0.2958505949513851,0.08785759481058818,-0.006754276361175635,-2.4222287134841185,0
0.7088185348441061,0.0010414946786454688,1.544982381074366,0.6502349743585205,0.5218109965426977,0
-1.056487797362162,0.8008191374872922,-0.6709744148182186,-0.8527901395272429,0.13503365525178482,0
-0.7590816473800904,0.49491831371491113,-1.5052580215838476,0.17495250496023765,1.392662294916359,0
1.392035684220913,0.5471867666786772,-0.8421721066212728,1.592588801173255,-0.8321503142614731,0
0.7880880197466054,1.7491364628116226,-0.352125605167101,1.9837707416869752,-0.9929540075903669,0
1.1675273983335777,-0.5202550618364833,0.6514248092595252,-1.5650116227694446,-1.6139736247017518,0
0.7547316360254878,0.2127952121386034,-0.713425172960191,0.3559698695349579,1.2325531914764882,0
-1.845201354282019,-2.8315831699621676,-0.6163291737405063,-0.8786906433006486,-0.27483778435300826,0
-2.5317682628969322,0.5530049838020289,-0.03526637115113914,0.7619431587945892,-0.9304689255550871,1
1.1721914020898483,-0.6072196076719047,0.4552823487205494,1.019086640320486,-0.1707033114429215,0
-2.0517687103141733,-0.4336887040807708,1.1714795324642822,-1.2517372234482669,-0.5923804045545401,0
-1.3365160094594473,1.1311122538139493,-0.8680060981801256,0.36019774751841366,-1.6951587986589605,0
1.5898461302693974,0.04685431637021286,-1.657951091643296,1.753472044188728,-0.005086845765036762,0
1.0153826826012202,-1.37692969248863,-0.5731644899416282,0.6870922599771705,0.15464112357591547,0
0.9477416861868294,-0.5436423136077988,0.4590189822333692,0.3039691847572855,-1.25268613909263,0
-0.4694341757940674,1.0109158671114713,0.0879906542821194,-1.4165771194916106,-1.0108239596167732,0
0.8409936497449296,0.9499175153086993,0.7584963986141243,-0.9269753113128849,-1.9810454695959254,1
-1.7642401322420636,0.9165104136780261,-0.14367945759720038,-0.40200962535529605,-0.362200445340085,1
0.8593658535743576,-1.9478990809989516,1.4042332397361685,0.8475436915243485,0.8769419366396161,0
0.25112772306281733,-1.6439998722138756,-1.451482588652315,-0.13443633988858053,0.9160419882861873,0
1.0587840630929617,1.9371488919286752,0.0021323981630338995,-2.393697934340667,-0.9299019452196752,0
-0.6247163564583651,0.3903453212403132,-0.8056962721918487,1.626856270063623,-0.0914463937620549,0
-0.10125421267223005,-1.4522440461369008,0.8759159813283292,-1.7867930520750028,-1.773122889502918,1
1.6427419765287685,-0.4936630776586443,0.3068292464418269,1.3334233929840231,-1.5341693134439292,0
2.3793881536155777,1.9692391238065974,-0.41420562450620735,-0.10807521214914376,0.20079212499895674,1
1.221698278990033,-0.3621666495752125,-0.5210927529659066,0.24069377514440962,-0.9451619776545699,1
-0.2822169427683859,0.8439407189592999,0.5806784485800215,-0.46716415294868563,1.4431228429553833,1
-0.30363599562693705,-0.8903734621214389,-0.8519300961513594,-0.37862185925512365,-2.662151260038759,0
1.0873373626098168,-0.23797780291256712,0.31960225164110057,1.5056325953513456,0.21896175939909052,1
-0.2928149479049118,2.1782048734881094,0.7362213139368201,1.4544867256422052,0.5635090235755874,1
0.5512077865658572,-1.6891228929614541,0.2656193584622928,0.5042258191718316,-0.4881569244489094,1
1.4745393589063711,-1.310816678364568,0.138734879015194,1.3156965861667345,0.4830910283446227,0
1.1223258371585192,-0.05785101685598027,0.25751596606752547,0.09717452518042786,-0.641397535324019,0
0.978711589058303,1.047093232205178,-0.7549186261917896,0.2288321684613598,-0.5404158321738788,0
1.769716954481118,-1.7277031972026322,0.663091203663303,0.052227963305925565,-0.49493724299405334,1
0.4224950980840628,0.3462870221033388,-0.3985606291819027,-0.6137880135028162,-1.6253617650401762,1
0.29736484483835157,-0.09703474586780432,-1.7880635453867506,0.277315916673073,0.9045865558407248,0
-2.479691502121316,-1.3768824688307273,-1.3774481888703989,0.7509507576145356,-2.4404684589224463,0
1.294277365877639,-0.02099097723355763,0.3797072340905453,0.49936736703567725,-1.4521197570178697,0
-1.5039301632026174,-0.14784037017589027,0.9121910694731471,0.64312028303865,-1.1168734291325697,0
-1.6991873023359498,0.5935122384748047,1.5115196802576905,-1.3852344360917537,-1.334245897236793,1
-1.478793011001181,-0.04249669134937721,-1.0910275474896216,0.3240415921906141,0.8354916415366657,0
-0.28244141860605604,0.7641322130404982,0.19197288763259024,-0.6643942924167884,0.9625270373821818,1
-0.14196474877204143,-0.684810899380051,-1.1090206206059492,-0.28400997622338625,0.03870924836133427,1
